sport,event,year,athlete_id,country_id,medal
Track and Field,Women's 4 x 100 metres Relay,2016,1462,187,
Swimming,Swimming Women's 200 metres Freestyle,2016,1464,40,
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,2016,1464,40,
Track and Field,Women's 20 kilometres Walk,2016,1477,108,
Track and Field,Men's 4 x 100 metres Relay,2016,1488,73,
Gymnastics,Gymnastics Men's Team All-Around,2016,1526,67,
Gymnastics,Gymnastics Men's Rings,2016,1526,67,
Track and Field,Women's Marathon,2016,1527,3,
Track and Field,Men's 4 x 100 metres Relay,2016,1561,34,Bronze
Track and Field,Women's 4 x 100 metres Relay,2016,1575,67,
Track and Field,"Women's 3,000 metres Steeplechase",2016,1599,189,
Track and Field,"Men's 3,000 metres Steeplechase",2016,1600,189,
Track and Field,Women's 4 x 100 metres Relay,2016,1682,195,Gold
Track and Field,Women's 800 metres,2016,1696,125,
Track and Field,"Women's 1,500 metres",2016,1696,125,
Track and Field,"Men's 3,000 metres Steeplechase",2016,1697,189,
Swimming,Swimming Men's 400 metres Freestyle,2016,1721,58,
Swimming,"Swimming Men's 1,500 metres Freestyle",2016,1721,58,
Swimming,Swimming Women's 50 metres Freestyle,2016,1746,16,
Track and Field,Women's 100 metres,2016,1749,16,
Track and Field,Women's 100 metres,2016,1780,137,
Track and Field,"Men's 5,000 metres",2016,1787,160,
Swimming,Swimming Women's 50 metres Freestyle,2016,1807,140,
Swimming,Swimming Women's 50 metres Freestyle,2016,1832,194,
Track and Field,Men's Discus Throw,2016,1856,160,
Track and Field,Women's 400 metres,2016,1943,149,
Track and Field,Men's 100 metres,2016,1946,137,
Track and Field,Women's 100 metres,2016,1993,15,
Swimming,Swimming Men's 100 metres Backstroke,2016,2008,149,
Swimming,Swimming Women's 50 metres Freestyle,2016,2021,15,
Track and Field,"Men's 5,000 metres",2016,2090,160,
Swimming,Swimming Men's 100 metres Backstroke,2016,2119,194,
Track and Field,Women's Marathon,2016,2135,140,
Track and Field,"Men's 3,000 metres Steeplechase",2016,2169,125,
Track and Field,"Men's 1,500 metres",2016,2197,194,
Track and Field,"Women's 3,000 metres Steeplechase",2016,2236,125,
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,2016,2314,173,
Track and Field,Women's 200 metres,2016,2408,119,
Track and Field,Men's 400 metres Hurdles,2016,2467,148,
Track and Field,Women's 800 metres,2016,2537,63,
Track and Field,Women's 400 metres,2016,2574,156,
Track and Field,Women's Long Jump,2016,2604,74,
Track and Field,Men's 200 metres,2016,2663,175,
Track and Field,Men's 110 metres Hurdles,2016,2683,111,
Track and Field,Men's 400 metres,2016,2688,138,
Track and Field,Women's 100 metres Hurdles,2016,2695,195,Silver
Track and Field,"Women's 5,000 metres",2016,2719,38,
Track and Field,Men's Shot Put,2016,2726,24,
Track and Field,Men's 110 metres Hurdles,2016,2775,170,
Swimming,Swimming Women's 100 metres Freestyle,2016,2779,145,
Swimming,Swimming Women's 100 metres Freestyle,2016,2784,13,
Track and Field,Men's 110 metres Hurdles,2016,2838,195,
Track and Field,Men's 4 x 400 metres Relay,2016,2861,93,Silver
Swimming,Swimming Men's 200 metres Breaststroke,2016,2900,62,
Track and Field,Men's Marathon,2016,2943,57,
Track and Field,Women's 800 metres,2016,2952,50,
Swimming,"Swimming Men's 1,500 metres Freestyle",2016,2969,26,
Swimming,Swimming Men's 400 metres Individual Medley,2016,2969,26,
Swimming,Swimming Men's 200 metres Butterfly,2016,2976,26,
Swimming,Swimming Women's 50 metres Freestyle,2016,3070,178,
Gymnastics,Gymnastics Women's Team All-Around,2016,3081,71,
Gymnastics,Gymnastics Women's Uneven Bars,2016,3081,71,
Gymnastics,Gymnastics Women's Balance Beam,2016,3081,71,
Track and Field,Men's Triple Jump,2016,3139,120,
Track and Field,Men's Long Jump,2016,3221,26,
Gymnastics,Gymnastics Women's Individual All-Around,2016,3267,141,
Gymnastics,Gymnastics Women's Floor Exercise,2016,3267,141,
Gymnastics,Gymnastics Women's Uneven Bars,2016,3267,141,
Gymnastics,Gymnastics Women's Balance Beam,2016,3267,141,
Track and Field,Men's 800 metres,2016,3280,63,
Track and Field,Men's 800 metres,2016,3284,72,
Track and Field,"Men's 3,000 metres Steeplechase",2016,3310,63,
Track and Field,Men's High Jump,2016,3316,113,
Track and Field,Women's High Jump,2016,3326,134,
Track and Field,Men's Javelin Throw,2016,3340,178,
Swimming,Swimming Men's 50 metres Freestyle,2016,3352,68,
Track and Field,Women's 4 x 400 metres Relay,2016,3411,14,
Track and Field,Men's 800 metres,2016,3512,25,
Track and Field,"Men's 1,500 metres",2016,3515,150,
Track and Field,Men's Javelin Throw,2016,3527,72,
Track and Field,Women's 200 metres,2016,3528,72,
Track and Field,Women's 4 x 100 metres Relay,2016,3528,72,
Track and Field,Women's 100 metres Hurdles,2016,3560,134,
Swimming,Swimming Women's 100 metres Butterfly,2016,3596,171,
Swimming,Swimming Women's 200 metres Butterfly,2016,3596,171,
Track and Field,Women's Marathon,2016,3600,171,
Track and Field,Women's 400 metres Hurdles,2016,3616,67,
Track and Field,Women's 4 x 400 metres Relay,2016,3616,67,
Track and Field,Women's Discus Throw,2016,3620,74,
Track and Field,Men's Hammer Throw,2016,3640,74,
Swimming,Swimming Women's 10 kilometres Open Water,2016,3820,195,
Track and Field,Men's 400 metres Hurdles,2016,4041,35,
Gymnastics,Gymnastics Women's Individual All-Around,2016,4048,26,
Gymnastics,Gymnastics Women's Team All-Around,2016,4048,26,
Gymnastics,Gymnastics Women's Floor Exercise,2016,4048,26,
Gymnastics,Gymnastics Women's Uneven Bars,2016,4048,26,
Gymnastics,Gymnastics Women's Balance Beam,2016,4048,26,
Track and Field,Women's Javelin Throw,2016,4054,67,
Track and Field,"Men's 1,500 metres",2016,4070,26,
Track and Field,Women's Javelin Throw,2016,4104,146,
Track and Field,"Women's 10,000 metres",2016,4155,73,
Track and Field,"Men's 1,500 metres",2016,4159,195,
Track and Field,Men's Decathlon,2016,4171,198,
Swimming,Swimming Women's 200 metres Breaststroke,2016,4181,152,
Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,2016,4183,152,
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,2016,4183,152,
Swimming,Swimming Women's 200 metres Individual Medley,2016,4183,152,
Swimming,Swimming Men's 400 metres Freestyle,2016,4233,152,
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,2016,4233,152,
Track and Field,Men's 800 metres,2016,4247,173,
Track and Field,Men's 4 x 100 metres Relay,2016,4248,56,
Track and Field,Women's High Jump,2016,4310,136,
Swimming,Swimming Men's 100 metres Freestyle,2016,4379,150,
Swimming,Swimming Men's 100 metres Butterfly,2016,4379,150,
Track and Field,Women's 400 metres Hurdles,2016,4407,146,
Track and Field,Men's 4 x 400 metres Relay,2016,4420,67,
Track and Field,Women's Discus Throw,2016,4523,86,
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,2016,4654,94,
Track and Field,"Men's 5,000 metres",2016,4662,15,
Track and Field,Men's Hammer Throw,2016,4674,189,
Track and Field,Men's Marathon,2016,4745,170,
Track and Field,"Women's 10,000 metres",2016,4747,97,
Track and Field,Women's 800 metres,2016,4776,125,
Track and Field,"Women's 1,500 metres",2016,4776,125,
Track and Field,Men's 50 kilometres Walk,2016,4782,94,Bronze
Track and Field,Men's Javelin Throw,2016,4787,94,
Swimming,Swimming Women's 100 metres Butterfly,2016,4809,149,
Swimming,Swimming Women's 10 kilometres Open Water,2016,4844,74,
Track and Field,"Men's 3,000 metres Steeplechase",2016,4848,192,
Track and Field,Men's Decathlon,2016,4866,26,
Track and Field,Men's Marathon,2016,4869,39,
Track and Field,Men's 50 kilometres Walk,2016,4871,39,
Track and Field,Men's 20 kilometres Walk,2016,4874,39,
Track and Field,Women's Shot Put,2016,4903,26,
Swimming,Swimming Women's 50 metres Freestyle,2016,4937,42,
Track and Field,Men's 20 kilometres Walk,2016,4938,173,
Track and Field,Women's 20 kilometres Walk,2016,4972,42,
Track and Field,Men's Pole Vault,2016,4991,102,
Track and Field,Men's 20 kilometres Walk,2016,5006,42,
Swimming,Swimming Women's 10 kilometres Open Water,2016,5009,57,
Track and Field,Women's Marathon,2016,5050,42,
Swimming,Swimming Men's 400 metres Freestyle,2016,5053,5,
Gymnastics,Gymnastics Men's Individual All-Around,2016,5056,189,
Gymnastics,Gymnastics Men's Floor Exercise,2016,5056,189,
Gymnastics,Gymnastics Men's Parallel Bars,2016,5056,189,
Gymnastics,Gymnastics Men's Horizontal Bar,2016,5056,189,
Gymnastics,Gymnastics Men's Rings,2016,5056,189,
Gymnastics,Gymnastics Men's Pommelled Horse,2016,5056,189,
Track and Field,"Men's 10,000 metres",2016,5065,189,
Track and Field,Women's Marathon,2016,5103,100,
Track and Field,Women's Marathon,2016,5127,128,
Track and Field,Men's Shot Put,2016,5191,147,
Track and Field,Men's 800 metres,2016,5309,148,
Swimming,"Swimming Men's 1,500 metres Freestyle",2016,5311,173,
Swimming,Swimming Women's 100 metres Freestyle,2016,5335,119,
Track and Field,Women's 20 kilometres Walk,2016,5340,151,
Track and Field,Men's 20 kilometres Walk,2016,5358,57,
Track and Field,Women's Discus Throw,2016,5378,121,
Track and Field,Women's 200 metres,2016,5393,51,
Track and Field,Women's 800 metres,2016,5443,18,
Track and Field,Men's Long Jump,2016,5444,89,
Track and Field,Women's 400 metres Hurdles,2016,5475,198,
Track and Field,Women's Discus Throw,2016,5508,173,
Track and Field,Men's 110 metres Hurdles,2016,5523,195,
Swimming,Swimming Men's 200 metres Butterfly,2016,5528,131,
Swimming,Swimming Men's 200 metres Individual Medley,2016,5528,131,
Track and Field,Women's 200 metres,2016,5542,73,
Track and Field,Women's 4 x 100 metres Relay,2016,5542,73,Bronze
Track and Field,Women's Discus Throw,2016,5560,195,
Track and Field,Men's 100 metres,2016,5561,93,
Track and Field,Men's 200 metres,2016,5561,93,
Track and Field,Men's 4 x 100 metres Relay,2016,5561,93,Gold
Swimming,Swimming Women's 400 metres Freestyle,2016,5577,11,
Swimming,Swimming Women's 800 metres Freestyle,2016,5577,11,
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,2016,5577,11,Silver
Track and Field,Women's Triple Jump,2016,5677,67,
Track and Field,"Women's 3,000 metres Steeplechase",2016,5687,63,
Track and Field,Women's 800 metres,2016,5688,63,
Track and Field,Women's 100 metres,2016,5723,134,
Track and Field,Women's 4 x 100 metres Relay,2016,5723,134,
Swimming,Swimming Men's 100 metres Backstroke,2016,5781,190,
Track and Field,Women's 4 x 100 metres Relay,2016,5783,179,
Swimming,Swimming Men's 50 metres Freestyle,2016,5801,43,
Track and Field,Men's 4 x 400 metres Relay,2016,5808,67,
Swimming,Swimming Women's 100 metres Breaststroke,2016,5817,93,
Track and Field,Men's 20 kilometres Walk,2016,5835,189,
Track and Field,Women's Marathon,2016,5848,160,
Swimming,Swimming Men's 50 metres Freestyle,2016,5853,106,
Swimming,Swimming Women's 4 x 100 metres Medley Relay,2016,5886,83,
Swimming,Swimming Men's 200 metres Freestyle,2016,5901,12,
Swimming,Swimming Men's 400 metres Freestyle,2016,5901,12,
Swimming,"Swimming Men's 1,500 metres Freestyle",2016,5901,12,
Swimming,Swimming Men's 50 metres Freestyle,2016,5947,155,
Gymnastics,Gymnastics Men's Individual All-Around,2016,5948,67,
Gymnastics,Gymnastics Men's Team All-Around,2016,5948,67,
Gymnastics,Gymnastics Men's Floor Exercise,2016,5948,67,
Gymnastics,Gymnastics Men's Parallel Bars,2016,5948,67,
Gymnastics,Gymnastics Men's Horizontal Bar,2016,5948,67,
Gymnastics,Gymnastics Men's Rings,2016,5948,67,
Gymnastics,Gymnastics Men's Pommelled Horse,2016,5948,67,
Swimming,Swimming Men's 50 metres Freestyle,2016,5965,64,
Track and Field,Women's Marathon,2016,5967,147,
Track and Field,Men's 50 kilometres Walk,2016,5975,146,
Track and Field,Men's Decathlon,2016,6050,67,
Swimming,Swimming Women's 200 metres Backstroke,2016,6140,189,
Track and Field,Men's Marathon,2016,6196,143,
Track and Field,"Women's 3,000 metres Steeplechase",2016,6202,63,
Track and Field,"Women's 5,000 metres",2016,6204,63,Bronze
Track and Field,"Women's 10,000 metres",2016,6204,63,Gold
Swimming,Swimming Men's 10 kilometres Open Water,2016,6218,29,
Track and Field,Women's Marathon,2016,6219,189,
